listing_id,neighborhood,building_type,condition,energy_rating,area_sqm,balcony_area_sqm,lot_size_sqm,bedrooms,bathrooms,living_rooms,floor,has_elevator,has_parking,has_ac,has_sea_view,distance_metro_km,distance_park_km,distance_center_km,noise_level_db,air_quality_index,monthly_hoa_fee,age_years,listing_year,description_length,rooms_total,price
12567,Umraniye,apartment,excellent,C,235.9,6.1,0.0,1,3,1,5,0,1,1,1,0.65,0.89,5.41,56.6,75.0,176.0,38,2024,105,2,322147
5253,Umraniye,apartment,fair,B,196.4,,,1,3,1,12,0,0,0,1,4.15,3.05,3.26,46.0,98.0,167.0,31,2025,312,2,257258
19394,Sisli,apartment,fair,A,102.7,,0.0,3,1,1,23,1,1,0,1,1.71,1.55,3.19,61.7,89.0,,42,2023,187,4,238250
16797,Kartal,duplex,fair,B,108.4,,,6,2,2,11,1,1,0,0,5.08,1.37,5.37,60.5,82.0,206.0,11,2025,224,8,178641
8095,Kartal,apartment,good,C,76.1,0.0,0.0,3,4,1,18,1,1,0,1,1.79,0.73,0.5,44.6,89.0,263.0,46,2024,248,4,104029
323,Besiktas,apartment,good,B,176.3,8.5,0.0,4,3,1,22,0,1,1,0,0.77,0.68,5.99,61.0,82.0,615.0,52,2024,128,5,303382
9924,Fatih,apartment,poor,A,189.4,,0.0,3,3,2,8,0,0,0,1,2.04,1.08,3.8,48.6,80.0,170.0,58,2024,214,5,247750
7460,Beyoglu,duplex,fair,A,205.6,10.2,0.0,5,2,2,6,1,1,1,1,3.53,,2.84,59.1,62.0,213.0,48,2024,121,7,401899
19025,Sisli,loft,excellent,C,88.7,2.5,0.0,5,1,2,16,1,1,0,0,1.74,2.78,6.21,50.1,71.0,174.0,55,2024,230,7,169526
17554,Kartal,apartment,poor,A,129.4,9.1,0.0,5,1,2,5,0,0,1,1,0.22,0.73,1.11,,95.0,68.0,0,2024,243,7,186650
9120,Maltepe,apartment,excellent,A,250.5,5.8,0.0,4,1,1,2,1,0,0,1,,1.18,1.64,,58.0,388.0,35,2025,140,5,443362
16422,Maltepe,apartment,fair,C,64.9,9.1,,6,4,1,4,1,1,0,1,2.71,1.27,7.25,53.2,69.0,293.0,12,2023,294,7,109947
16061,Maltepe,duplex,fair,C,124.0,,0.0,3,1,2,3,1,0,1,1,2.58,0.61,2.67,42.0,95.0,,55,2024,87,4,193273
10121,Kadikoy,residence,good,B,151.1,0.0,,3,3,1,5,1,1,1,0,0.33,0.8,4.86,51.3,86.0,231.0,12,2024,231,3,360703
19056,Sisli,apartment,poor,A,145.1,,0.0,3,1,1,19,1,1,1,0,0.45,1.32,0.93,46.7,97.0,64.0,34,2024,286,4,224201
3650,Besiktas,apartment,fair,C,90.7,6.4,0.0,6,4,2,20,1,1,1,1,1.28,0.97,2.35,49.3,,149.0,1,2024,134,8,395259
3942,Uskudar,apartment,fair,A,166.3,,,2,2,2,17,1,0,1,0,0.2,1.01,2.13,55.8,101.0,108.0,32,2024,197,4,254185
17881,Maltepe,residence,excellent,A,97.4,,,5,4,1,2,1,0,1,1,1.44,1.98,1.42,55.0,77.0,,26,2023,66,6,226963
16676,Kartal,apartment,good,B,209.9,9.7,0.0,1,3,2,15,1,1,1,1,1.48,1.87,3.9,58.6,98.0,158.0,1,2023,176,3,343722
12631,Uskudar,loft,fair,C,62.4,,0.0,2,2,2,7,1,1,1,1,3.48,1.59,2.66,62.2,41.0,35.0,18,2024,275,4,129099
11444,Atasehir,apartment,fair,B,150.6,,,4,1,2,17,1,0,0,0,0.77,0.55,2.12,49.2,91.0,147.0,34,2023,46,6,219847
12158,Besiktas,residence,fair,C,97.5,15.1,0.0,4,4,2,24,0,1,1,0,3.07,1.41,1.74,80.2,84.0,,46,2024,403,5,203200
13836,Sisli,detached,excellent,A,87.3,13.0,103.2,2,3,2,5,0,1,0,1,2.62,0.56,0.68,53.2,117.0,340.0,45,2025,249,4,223154
3435,Besiktas,residence,good,C,147.4,0.6,0.0,2,4,1,23,1,0,1,1,1.05,1.21,2.94,68.5,109.0,,25,2024,355,3,565588
18740,Umraniye,apartment,good,A,130.7,13.5,0.0,3,2,2,23,1,1,0,0,0.96,0.57,2.83,45.6,71.0,489.0,10,2024,241,5,162266
17408,Sisli,duplex,fair,A,102.9,10.4,,6,1,2,24,0,1,1,1,1.14,0.35,1.6,57.1,70.0,678.0,23,2023,203,8,279190
15441,Sisli,residence,fair,A,239.7,5.1,,4,1,1,5,0,1,1,0,1.24,1.03,1.95,63.3,114.0,537.0,7,2024,430,5,528620
10407,Uskudar,duplex,good,,96.1,,217.0,2,3,2,22,0,0,1,1,0.15,1.14,1.68,58.0,63.0,227.0,37,2025,385,4,240310
6518,Atasehir,detached,good,D,212.0,,0.0,1,2,2,13,0,0,1,1,1.98,1.35,4.58,60.8,95.0,123.0,41,2025,154,3,423664
972,Maltepe,apartment,good,B,78.9,13.1,,6,4,2,19,0,0,0,1,1.18,2.02,5.16,47.3,72.0,230.0,28,2025,258,8,150349
16488,Atasehir,apartment,fair,C,167.2,7.4,0.0,1,1,2,15,1,0,0,0,0.78,0.65,4.8,61.3,,510.0,29,2023,127,3,237088
19731,Sisli,detached,good,A,118.7,6.7,,6,3,1,14,1,1,1,1,2.71,1.29,2.96,59.9,100.0,232.0,53,2024,303,7,267918
13138,Bakirkoy,apartment,fair,C,132.1,5.4,,2,2,1,10,0,0,1,1,1.29,3.53,6.43,59.1,92.0,87.0,51,2024,282,3,230774
3670,Fatih,duplex,fair,B,177.7,0.0,,1,2,1,7,1,1,0,1,0.36,0.41,1.67,64.0,74.0,136.0,41,2025,109,2,379843
15984,Sariyer,residence,poor,A,95.7,10.2,,3,3,1,22,1,1,1,0,1.19,1.91,1.52,68.4,,108.0,5,2024,228,4,278061
4059,Fatih,apartment,poor,B,153.3,11.5,,3,1,2,8,0,1,1,0,1.1,1.13,2.32,60.4,42.0,214.0,37,2024,128,5,183770
14977,Umraniye,apartment,fair,B,80.4,11.0,,4,3,2,11,0,0,0,0,1.77,1.1,3.18,63.8,92.0,45.0,32,2024,194,6,75059
15699,Kadikoy,detached,good,C,121.7,11.7,100.6,3,4,1,0,0,0,1,1,0.98,0.93,0.87,77.3,62.0,94.0,58,2024,159,4,315193
13830,Beyoglu,residence,fair,B,79.5,,,3,3,2,7,0,0,0,0,1.71,0.75,1.42,50.6,101.0,214.0,49,2023,328,5,115924
13420,Kadikoy,apartment,good,A,131.9,3.4,0.0,6,3,2,12,1,0,1,0,1.17,1.5,0.5,64.9,53.0,286.0,57,2025,232,8,133440
961,Umraniye,apartment,fair,A,138.3,5.9,,2,1,1,21,1,0,1,1,1.33,1.18,0.92,63.8,61.0,218.0,52,2024,159,3,150735
17745,Fatih,apartment,fair,C,95.0,14.6,,3,2,1,14,1,1,1,0,1.45,1.32,3.04,55.4,90.0,90.0,57,2024,198,4,111587
9865,Sisli,apartment,poor,A,268.5,9.0,0.0,5,4,1,16,0,0,0,1,2.78,0.47,3.42,53.9,,,37,2024,44,6,515024
11264,Fatih,detached,good,B,135.7,12.9,321.3,4,3,1,20,1,0,1,1,1.09,2.04,3.73,68.5,80.0,,39,2023,129,5,285914
15783,Sariyer,residence,good,C,73.7,8.1,0.0,3,1,1,0,0,0,1,0,,0.91,5.77,49.5,93.0,155.0,4,2024,163,4,182193
17197,Umraniye,residence,excellent,C,175.1,1.7,,4,4,2,15,0,1,0,0,1.15,1.08,6.1,63.0,98.0,52.0,11,2025,248,6,268280
7555,Atasehir,duplex,fair,B,76.7,5.9,103.7,3,4,1,9,0,1,1,1,1.13,2.59,1.76,57.8,80.0,638.0,28,2024,292,4,172736
10499,Umraniye,apartment,good,B,116.5,12.4,0.0,6,4,1,13,0,1,1,1,0.73,1.96,4.28,,86.0,137.0,23,2024,287,7,237047
17060,Sariyer,apartment,fair,C,182.9,5.2,0.0,3,3,2,1,0,0,1,1,0.18,1.31,7.72,48.2,58.0,296.0,33,2025,120,5,600678
17929,Besiktas,apartment,good,B,136.7,,,4,1,2,2,1,0,0,0,1.02,2.88,0.78,,48.0,31.0,24,2025,131,6,210626
7086,Uskudar,residence,poor,C,276.7,2.9,0.0,5,3,2,8,0,0,0,0,0.3,1.28,2.57,61.0,93.0,295.0,43,2025,139,7,441989
14754,Bakirkoy,loft,excellent,,114.7,8.6,0.0,2,4,2,11,1,0,0,1,2.65,1.27,4.27,61.0,,232.0,0,2025,73,4,422165
4520,Atasehir,apartment,fair,B,135.4,,,6,4,2,9,0,1,1,1,0.05,0.46,3.65,74.3,,250.0,28,2024,168,8,287398
3025,Beyoglu,residence,fair,A,109.3,6.6,,3,3,1,7,0,1,0,1,2.55,0.71,0.93,73.0,98.0,203.0,24,2023,129,4,236372
12122,Umraniye,duplex,good,A,138.0,7.1,46.8,6,1,2,9,0,0,0,1,0.55,1.2,9.73,70.8,74.0,439.0,21,2025,99,8,210022
18495,Besiktas,apartment,good,A,67.4,1.6,0.0,3,4,2,4,0,0,1,1,0.55,0.28,1.22,59.0,62.0,261.0,23,2023,383,5,225264
5484,Uskudar,apartment,fair,C,98.3,7.7,0.0,4,3,2,8,0,1,1,0,1.4,0.36,0.5,49.2,44.0,101.0,19,2025,414,6,177344
1420,Sisli,apartment,fair,A,117.4,8.3,0.0,6,4,2,16,0,1,1,1,,3.27,5.5,72.8,60.0,285.0,49,2024,306,8,253925
6210,Bakirkoy,apartment,fair,B,145.5,,,1,1,2,16,0,1,0,0,1.21,1.1,10.51,56.0,95.0,181.0,15,2025,101,3,272919
10743,Beyoglu,residence,fair,B,96.8,,0.0,3,1,1,18,0,0,1,0,6.01,1.54,0.55,55.8,86.0,403.0,26,2024,308,4,144919
16144,Atasehir,apartment,good,C,183.3,9.3,0.0,1,3,1,16,1,0,0,1,0.45,0.39,5.34,53.6,69.0,160.0,30,2024,272,2,384641
17618,Umraniye,apartment,good,B,214.5,10.0,0.0,5,1,1,22,1,1,0,1,1.07,0.64,1.44,68.2,,224.0,30,2024,144,6,279785
14569,Sisli,residence,fair,C,147.7,13.9,,1,1,2,18,1,0,1,0,0.97,2.64,1.05,69.0,78.0,75.0,23,2025,250,3,308092
981,Besiktas,apartment,poor,D,179.5,8.2,0.0,3,4,1,14,0,0,1,1,1.88,,2.66,,79.0,127.0,15,2024,324,4,589796
2784,Fatih,apartment,fair,C,190.8,8.7,,6,2,2,1,1,1,1,0,1.63,1.39,6.06,73.6,104.0,112.0,37,2025,189,8,223392
7714,Sariyer,duplex,poor,A,205.6,4.0,0.0,5,3,1,0,1,1,0,0,0.94,0.84,2.33,55.5,77.0,148.0,31,2024,261,6,592976
11519,Bakirkoy,apartment,poor,A,107.6,6.7,0.0,1,4,2,1,1,1,0,1,0.77,0.61,1.73,55.5,66.0,364.0,7,2024,10,3,206781
8601,Kadikoy,residence,good,C,75.1,,0.0,6,1,2,10,1,0,1,1,0.86,0.24,4.71,55.7,63.0,68.0,0,2024,214,8,195654
11641,Kadikoy,duplex,excellent,C,157.7,,,5,2,1,20,1,0,1,1,1.78,1.48,4.36,39.9,87.0,301.0,21,2024,238,6,564988
18831,Fatih,apartment,good,C,178.5,15.5,,4,3,2,23,1,1,1,0,0.44,0.81,6.34,64.7,77.0,256.0,48,2024,159,6,296271
12563,Kadikoy,apartment,good,B,169.4,5.4,0.0,2,3,1,24,0,1,1,0,0.83,1.71,2.41,62.0,71.0,,4,2024,239,3,412272
12752,Beyoglu,loft,fair,,129.5,0.5,0.0,5,1,2,14,0,0,0,0,1.03,0.64,1.44,53.9,46.0,175.0,3,2024,277,7,268472
6385,Uskudar,apartment,fair,B,192.8,,0.0,4,1,2,4,0,1,1,0,0.83,0.48,0.5,66.3,70.0,363.0,14,2024,17,6,287849
4808,Uskudar,detached,good,C,81.7,14.4,,5,2,1,19,1,0,1,1,,0.87,7.07,,54.0,47.0,17,2024,274,6,251662
6196,Kartal,apartment,fair,A,88.8,5.1,0.0,2,2,1,1,0,1,1,0,1.88,0.94,3.46,51.4,74.0,128.0,5,2024,395,3,104767
10649,Bakirkoy,apartment,good,A,91.4,,,1,1,2,16,0,1,0,1,2.7,4.36,1.11,54.4,68.0,129.0,0,2025,400,3,241273
7568,Atasehir,residence,good,A,92.0,9.9,0.0,5,3,2,23,0,0,0,1,2.43,3.16,2.7,56.7,,,59,2024,261,7,52094
16398,Kadikoy,apartment,poor,B,104.8,2.8,0.0,4,4,1,16,0,1,0,0,5.85,1.11,1.23,53.7,92.0,32.0,49,2024,226,5,151053
17525,Kadikoy,apartment,fair,C,118.1,9.4,0.0,6,4,1,12,1,1,1,1,1.66,0.47,3.7,64.0,106.0,,32,2024,141,6,265371
1347,Sisli,apartment,poor,B,175.8,8.9,0.0,1,4,2,5,1,1,0,1,1.57,1.02,0.93,75.1,90.0,261.0,12,2023,204,4,357112
13125,Besiktas,detached,good,C,194.0,,147.2,2,1,1,19,0,0,1,0,0.77,1.0,1.5,,35.0,40.0,23,2024,317,3,612625
12674,Umraniye,apartment,good,B,121.8,8.6,,3,2,1,24,0,0,0,0,2.14,4.14,4.67,43.7,87.0,341.0,53,2024,337,4,98554
15456,Sariyer,loft,fair,A,111.0,4.6,,3,2,1,23,1,0,1,1,1.82,0.84,1.1,44.3,81.0,89.0,52,2025,43,4,326259
14002,Atasehir,apartment,fair,B,85.0,,0.0,4,3,2,4,0,1,0,1,0.45,2.22,2.43,66.5,74.0,376.0,24,2023,298,6,152874
18622,Sisli,residence,good,B,175.7,12.4,0.0,5,2,2,3,0,0,1,1,0.6,1.25,1.38,57.0,105.0,51.0,53,2024,90,7,367415
2120,Atasehir,apartment,fair,A,310.9,,0.0,5,4,2,7,0,1,0,0,1.86,0.3,0.72,51.9,99.0,451.0,57,2025,160,7,359874
15305,Sariyer,apartment,good,C,77.7,9.3,0.0,4,2,1,20,0,1,0,0,1.59,0.87,2.27,72.9,99.0,528.0,39,2023,292,4,171520
4310,Umraniye,apartment,fair,C,103.3,,,3,3,1,1,0,1,1,1,1.67,1.51,0.5,60.1,86.0,,29,2023,127,4,257171
4485,Atasehir,loft,excellent,A,168.3,6.9,0.0,5,1,1,18,0,0,0,1,1.26,0.99,8.19,,60.0,124.0,41,2024,380,6,419814
11014,Sariyer,apartment,poor,B,77.4,,0.0,3,4,2,3,0,1,0,0,1.32,0.6,3.36,52.0,85.0,48.0,12,2023,186,5,172231
4771,Maltepe,duplex,fair,B,159.6,6.3,19.8,6,4,1,10,0,1,1,0,1.31,1.32,14.02,61.4,75.0,437.0,26,2024,180,7,232821
2713,Besiktas,residence,good,C,109.5,11.3,0.0,6,1,1,4,1,1,0,1,3.12,0.73,4.2,61.0,98.0,,23,2023,271,7,318172
12187,Beyoglu,residence,fair,D,100.2,14.7,0.0,6,4,2,14,1,1,0,1,1.22,3.21,1.77,51.7,83.0,96.0,31,2025,154,8,287185
16616,Sariyer,detached,fair,A,55.0,3.5,,4,4,2,11,1,0,0,0,0.9,0.62,6.27,56.5,65.0,,3,2024,429,6,173395
10948,Uskudar,residence,good,B,124.8,4.3,0.0,1,2,1,21,1,1,0,0,0.86,0.95,3.65,64.0,84.0,188.0,4,2024,135,2,287386
2546,Uskudar,apartment,poor,C,103.2,15.5,0.0,2,2,2,17,0,0,0,0,0.68,3.09,2.97,65.5,106.0,95.0,46,2024,177,4,130117
12620,Fatih,duplex,poor,C,91.5,6.1,,5,4,1,4,0,0,0,1,0.98,0.76,1.94,48.5,,,15,2024,190,6,177481
9852,Maltepe,detached,poor,C,101.1,11.5,103.3,1,3,2,14,0,0,1,0,1.87,1.04,6.78,52.2,,229.0,56,2025,270,3,120656
4411,Atasehir,residence,fair,C,71.1,8.9,0.0,5,3,2,21,1,0,0,0,1.01,0.67,1.3,68.0,64.0,71.0,14,2024,184,7,148500
19648,Sisli,apartment,poor,A,237.0,13.8,0.0,1,1,2,18,1,0,1,0,0.34,0.22,0.72,58.9,97.0,185.0,26,2023,199,3,374570
12345,Sariyer,residence,good,D,58.3,13.7,0.0,4,4,1,4,0,0,0,1,0.14,0.51,9.77,68.6,83.0,31.0,35,2024,140,5,192947
12408,Beyoglu,residence,good,B,99.1,7.5,0.0,3,2,1,19,0,0,0,0,5.31,1.45,5.76,64.7,94.0,29.0,5,2025,337,3,182840
9611,Umraniye,apartment,fair,A,122.0,,,1,2,1,1,1,1,1,0,1.65,1.08,0.75,57.2,101.0,154.0,26,2025,317,2,107386
10719,Sisli,apartment,excellent,B,71.6,13.7,0.0,4,3,2,17,1,1,0,0,1.57,0.5,3.56,60.2,46.0,41.0,10,2023,151,6,165228
7572,Kartal,residence,poor,B,117.3,,0.0,3,3,1,3,0,1,1,0,,0.45,3.86,,76.0,114.0,36,2025,329,4,117092
3571,Umraniye,loft,good,B,139.6,10.0,0.0,4,4,2,19,1,1,0,1,1.06,0.23,2.45,55.4,52.0,97.0,26,2024,217,6,226990
8603,Umraniye,loft,fair,B,146.5,3.5,0.0,1,1,2,23,0,0,1,1,3.26,5.42,7.58,51.4,64.0,415.0,27,2025,160,3,175004
3560,Uskudar,apartment,good,B,128.7,9.9,0.0,3,4,2,9,1,0,1,0,2.07,2.47,5.09,54.1,100.0,151.0,57,2025,65,4,252933
4992,Umraniye,duplex,excellent,B,168.6,6.5,438.7,5,1,2,5,1,0,1,1,2.15,1.86,0.65,63.9,102.0,,21,2024,202,7,327242
7440,Kartal,detached,good,B,237.0,,0.0,1,3,1,12,0,0,0,1,0.81,0.9,14.89,54.0,94.0,211.0,41,2024,281,2,402681
9326,Uskudar,apartment,good,C,93.1,,0.0,6,3,1,15,0,1,1,1,0.34,2.6,3.41,58.7,69.0,201.0,36,2024,162,8,236847
2301,Kadikoy,detached,excellent,A,147.9,4.0,153.6,6,4,2,16,1,0,1,1,1.0,0.46,2.13,58.6,89.0,94.0,45,2024,147,7,439097
7667,Bakirkoy,residence,good,D,153.2,9.5,0.0,6,2,1,9,0,0,1,0,1.27,1.49,0.51,43.2,110.0,186.0,27,2023,10,7,334172
5805,Atasehir,detached,good,A,138.6,8.0,,3,1,1,4,1,0,1,0,2.92,1.78,3.38,67.1,66.0,371.0,11,2024,337,4,282574
12023,Maltepe,detached,good,B,228.8,5.5,0.0,6,3,2,15,0,0,0,0,0.48,3.23,1.91,65.2,86.0,185.0,58,2025,204,8,319259
15538,Kadikoy,apartment,excellent,C,141.3,12.7,0.0,2,4,1,18,0,0,1,1,1.77,0.27,5.81,66.7,117.0,102.0,27,2024,265,3,337316
9758,Umraniye,apartment,excellent,D,134.4,8.5,0.0,3,1,1,15,1,0,0,0,2.4,0.88,0.84,52.8,92.0,335.0,53,2025,339,4,140188
12015,Kadikoy,apartment,fair,,157.5,9.4,0.0,2,3,1,4,0,0,1,0,4.29,2.08,6.22,69.6,111.0,200.0,30,2025,150,3,246610
5212,Atasehir,apartment,excellent,D,140.2,9.5,,4,3,2,16,1,0,0,0,0.81,0.77,1.02,47.8,83.0,388.0,10,2024,331,6,263080
11549,Atasehir,apartment,good,A,111.3,12.9,0.0,6,3,2,17,0,1,0,1,1.79,2.67,0.5,41.3,102.0,154.0,8,2024,133,9,251815
12367,Besiktas,apartment,fair,A,159.4,,0.0,1,4,2,2,1,1,0,1,1.18,1.24,3.4,56.6,64.0,30.0,59,2023,100,3,360865
9271,Sisli,detached,fair,C,126.6,14.1,,2,2,1,18,0,0,0,1,2.05,0.73,3.73,54.1,61.0,75.0,24,2024,10,3,276808
3976,Kadikoy,residence,fair,B,101.6,4.5,0.0,4,1,2,21,1,0,0,0,2.21,0.92,5.41,64.9,,188.0,3,2025,276,5,222038
16091,Besiktas,residence,fair,C,140.5,9.9,0.0,6,3,1,22,0,1,1,1,1.83,0.17,4.85,51.3,79.0,420.0,31,2024,202,7,411771
17233,Fatih,apartment,excellent,C,150.1,13.8,0.0,2,2,2,15,1,0,0,1,2.71,1.31,1.41,59.4,90.0,,6,2023,212,4,392296
17444,Fatih,apartment,poor,B,67.4,8.5,0.0,4,4,2,3,0,1,1,0,1.38,1.83,6.47,67.9,99.0,298.0,12,2024,287,6,83478
13657,Sisli,duplex,good,B,81.2,,,5,1,1,20,0,1,1,0,2.91,1.45,5.72,64.6,98.0,146.0,51,2024,194,6,146207
15646,Atasehir,duplex,excellent,D,85.5,,497.3,3,3,2,12,1,0,0,0,1.26,0.2,10.96,61.7,78.0,462.0,52,2024,290,5,132929
2731,Umraniye,duplex,fair,C,154.0,12.4,,4,1,2,15,1,1,1,0,0.38,0.35,4.82,68.8,66.0,186.0,13,2025,277,5,187276
3299,Uskudar,duplex,fair,C,91.4,5.3,0.0,5,1,2,21,1,0,0,1,0.82,0.69,5.72,63.3,91.0,278.0,41,2025,245,7,208818
8957,Kartal,duplex,good,B,154.4,0.0,,1,1,2,19,1,0,1,1,0.87,1.78,4.49,51.6,132.0,12.0,52,2025,365,2,247515
17411,Besiktas,apartment,fair,A,89.8,7.2,0.0,6,3,2,10,1,1,1,0,,1.29,4.14,60.6,96.0,16.0,37,2023,155,8,220370
15156,Beyoglu,duplex,fair,C,215.8,,65.9,5,2,1,8,0,1,0,1,0.4,2.08,1.81,59.0,126.0,152.0,30,2025,153,7,390072
17277,Bakirkoy,duplex,good,A,135.2,6.5,193.6,1,2,1,10,1,1,1,0,0.75,0.93,2.63,70.4,,43.0,8,2023,146,2,340348
6704,Bakirkoy,residence,poor,B,212.7,0.0,0.0,2,3,2,0,1,1,0,0,1.71,0.38,8.29,59.1,90.0,297.0,32,2024,280,3,347322
1969,Kadikoy,loft,excellent,B,187.4,4.6,0.0,2,2,2,5,1,0,1,0,1.35,0.69,4.48,67.7,58.0,25.0,0,2025,126,4,401513
4937,Fatih,apartment,fair,A,109.9,13.8,,2,1,1,24,1,0,1,0,0.46,,3.0,36.5,72.0,82.0,56,2024,352,3,141885
2113,Sisli,residence,good,,227.0,10.6,0.0,2,1,2,13,0,0,0,1,2.34,2.98,3.47,60.2,76.0,146.0,2,2025,216,4,692626
879,Atasehir,apartment,good,A,281.0,10.3,0.0,1,1,2,9,0,1,1,1,1.37,1.29,0.7,,79.0,237.0,45,2024,194,3,428495
19076,Fatih,loft,fair,B,257.3,,,3,4,1,14,1,0,1,1,2.77,0.44,0.54,74.2,54.0,12.0,3,2023,148,4,570670
12990,Bakirkoy,residence,good,C,135.7,10.4,0.0,6,3,2,22,0,1,0,0,1.24,3.53,4.31,69.2,62.0,109.0,7,2024,326,8,279694
7278,Beyoglu,detached,good,B,62.0,7.1,266.3,3,1,1,19,0,0,0,1,1.49,0.28,0.5,,72.0,58.0,41,2024,315,4,178586
5710,Sisli,apartment,good,A,108.7,5.5,0.0,2,2,1,14,0,0,1,0,,2.89,9.36,63.4,88.0,20.0,48,2024,215,3,359422
12079,Umraniye,apartment,poor,C,94.8,3.6,,3,1,1,17,0,1,0,0,1.29,2.08,8.49,69.0,73.0,10.0,41,2024,377,4,79079
6688,Uskudar,apartment,fair,C,135.3,5.1,0.0,6,1,1,17,0,1,1,1,0.47,1.37,2.78,51.5,110.0,132.0,41,2025,261,7,322014
6419,Beyoglu,apartment,good,A,101.3,3.8,0.0,4,4,1,2,1,0,0,1,2.87,1.49,2.76,71.0,73.0,111.0,38,2023,306,5,199319
10432,Kadikoy,apartment,good,,116.5,3.9,0.0,6,1,2,3,1,1,1,0,0.8,1.56,2.57,63.0,,336.0,22,2024,40,8,205001
9983,Beyoglu,residence,excellent,C,214.5,4.9,0.0,6,2,1,14,1,1,0,1,0.19,1.39,0.5,45.0,88.0,156.0,13,2025,190,6,604560
19074,Beyoglu,apartment,good,C,96.8,3.9,0.0,5,1,2,0,0,0,1,1,0.67,1.22,5.73,67.2,80.0,98.0,19,2023,326,7,209423
4630,Besiktas,apartment,fair,B,94.8,5.2,0.0,2,4,2,11,0,0,1,1,2.43,2.27,4.31,65.6,67.0,281.0,50,2025,424,3,237012
8863,Kadikoy,residence,poor,C,211.7,5.4,0.0,4,3,2,9,1,1,0,0,1.18,0.99,5.63,63.4,83.0,236.0,18,2024,263,7,428707
4668,Kartal,apartment,excellent,C,236.5,4.5,0.0,3,1,1,13,1,0,0,0,1.69,,2.41,60.1,78.0,90.0,46,2024,390,4,279531
14164,Fatih,residence,good,B,148.0,,0.0,1,1,1,4,0,1,0,0,0.93,1.05,0.5,60.3,116.0,248.0,22,2025,241,2,249821
386,Kadikoy,apartment,good,D,132.0,,0.0,6,3,1,19,1,1,0,0,,2.14,4.11,52.4,86.0,280.0,14,2025,271,7,295816
4187,Maltepe,apartment,good,C,238.4,8.0,0.0,5,4,1,8,0,0,0,1,0.76,,1.42,61.9,89.0,288.0,13,2025,363,6,240987
5346,Kadikoy,detached,good,C,86.9,3.9,,3,2,1,0,0,1,0,0,0.91,1.24,2.49,49.3,80.0,212.0,51,2023,223,4,187880
2196,Beyoglu,apartment,good,A,183.7,3.2,0.0,2,1,1,11,0,1,0,1,4.73,1.28,7.41,53.3,42.0,100.0,13,2025,93,2,416006
14991,Maltepe,apartment,excellent,C,152.2,7.8,0.0,5,1,2,8,1,0,0,1,0.82,4.84,2.99,58.2,84.0,317.0,51,2025,196,7,267303
12635,Besiktas,apartment,poor,B,91.0,,,2,2,2,23,1,1,0,1,0.47,2.73,0.59,59.3,99.0,,3,2025,355,4,312993
